Entidad federativa,Nivel educativo,Total,Hombres,Mujeres
Jalisco,Superior,"260,806","117,912","142,894"
México,Total,"4,015,761","2,028,213","1,987,548"
México,Inicial,"14,647","7,656","6,991"
México,Preescolar,"426,974","214,218","212,756"
México,Primaria,"1,602,778","811,524","791,254"
México,Secundaria,"832,852","418,264","414,588"
México,Media superior,"679,577","325,694","353,883"
México,Superior,"458,933","210,192","248,741"
Michoacán de Ocampo,Total,"1,228,215","625,230","602,985"
Michoacán de Ocampo,Inicial,"13,713","7,037","6,676"
Michoacán de Ocampo,Preescolar,"170,902","85,639","85,263"
Michoacán de Ocampo,Primaria,"518,416","262,597","255,819"
Michoacán de Ocampo,Secundaria,"232,718","115,235","117,483"
Michoacán de Ocampo,Media superior,"170,981","78,010","92,971"
Michoacán de Ocampo,Superior,"121,485","54,467","67,018"
Morelos,Total,"477,163","241,524","235,639"
Morelos,Inicial,"4,316","2,256","2,060"
Morelos,Preescolar,"53,739","26,956","26,783"
Morelos,Primaria,"183,616","93,360","90,256"
Morelos,Secundaria,"93,653","46,788","46,865"
Morelos,Media superior,"77,202","36,788","40,414"
Morelos,Superior,"64,637","29,491","35,146"
Nayarit,Total,"326,256","164,004","162,252"
Nayarit,Inicial,"2,808","1,444","1,364"
Nayarit,Preescolar,"42,201","21,414","20,787"
Nayarit,Primaria,"127,896","65,203","62,693"
Nayarit,Secundaria,"65,039","32,854","32,185"
Nayarit,Media superior,"54,323","25,876","28,447"
Nayarit,Superior,"33,989","15,461","18,528"
Nuevo León,Total,"1,480,701","735,444","745,257"
Nuevo León,Inicial,"9,879","5,519","4,360"
Nuevo León,Preescolar,"186,401","94,130","92,271"
Nuevo León,Primaria,"579,032","294,225","284,807"
Nuevo León,Secundaria,"281,582","142,288","139,294"
Nuevo León,Media superior,"198,751","99,636","99,115"
Nuevo León,Superior,"225,056","109,459","115,597"
Oaxaca,Total,"1,079,875","566,106","513,769"
Oaxaca,Inicial,"8,078","4,140","3,938"
Oaxaca,Preescolar,"158,225","74,206","84,019"
Oaxaca,Primaria,"460,304","220,504","239,800"
Oaxaca,Secundaria,"216,075","105,434","110,641"
Oaxaca,Media superior,"149,738","71,003","78,735"
Oaxaca,Superior,"87,455","38,482","48,973"
Puebla,Total,"1,891,112","961,570","929,542"
Puebla,Inicial,"6,088","3,158","2,930"
Puebla,Preescolar,"250,399","125,577","124,822"
Puebla,Primaria,"733,613","371,907","361,706"
Puebla,Secundaria,"349,062","173,933","175,129"
Puebla,Media superior,"281,317","132,864","148,453"
Puebla,Superior,"270,633","122,103","148,530"
Querétaro,Total,"635,661","322,179","313,482"
Querétaro,Inicial,"5,678","2,974","2,704"
Querétaro,Preescolar,"75,712","38,091","37,621"
Querétaro,Primaria,"248,687","126,189","122,498"
Querétaro,Secundaria,"124,117","62,122","61,995"
Querétaro,Media superior,"97,636","45,676","51,960"
Querétaro,Superior,"83,831","38,430","45,401"
Quintana Roo,Total,"449,862","224,021","225,841"
Quintana Roo,Inicial,"3,315","1,717","1,598"
Quintana Roo,Preescolar,"51,374","25,929","25,445"
Quintana Roo,Primaria,"188,089","95,582","92,507"
Quintana Roo,Secundaria,"91,982","46,598","45,384"
Quintana Roo,Media superior,"73,598","36,091","37,507"
Quintana Roo,Superior,"41,504","19,924","21,580"
San Luis Potosí,Total,"721,501","361,938","359,563"
San Luis Potosí,Inicial,"8,501","4,412","4,089"
San Luis Potosí,Preescolar,"106,623","53,879","52,744"
San Luis Potosí,Primaria,"285,484","144,932","140,552"
San Luis Potosí,Secundaria,"142,340","71,778","70,562"
San Luis Potosí,Media superior,"100,181","48,285","51,896"
San Luis Potosí,Superior,"78,372","36,277","42,095"
Sinaloa,Total,"840,202","421,610","418,592"
Sinaloa,Inicial,"11,401","5,932","5,469"
Sinaloa,Preescolar,"103,818","52,632","51,186"
Sinaloa,Primaria,"296,069","151,303","144,766"
Sinaloa,Secundaria,"151,140","76,730","74,410"
Sinaloa,Media superior,"142,042","68,927","73,115"
Sinaloa,Superior,"135,732","63,068","72,664"
Sonora,Total,"759,989","381,350","378,639"
Sonora,Inicial,"10,770","5,608","5,162"
Sonora,Preescolar,"82,564","41,702","40,862"
Sonora,Primaria,"280,666","142,877","137,789"
Sonora,Secundaria,"143,507","72,815","70,692"
Sonora,Media superior,"121,363","59,025","62,338"
Sonora,Superior,"121,119","56,612","64,507"
Tabasco,Total,"688,295","340,480","347,815"
Tabasco,Inicial,"4,416","2,321","2,095"
Tabasco,Preescolar,"97,307","48,873","48,434"
Tabasco,Primaria,"263,214","133,700","129,514"
Tabasco,Secundaria,"134,795","68,918","65,877"
Tabasco,Media superior,"114,593","57,692","56,901"
Tabasco,Superior,"73,970","36,311","37,659"
Tamaulipas,Total,"900,888","454,378","446,510"
Tamaulipas,Inicial,"8,589","4,484","4,105"
Tamaulipas,Preescolar,"95,459","47,998","47,461"
Tamaulipas,Primaria,"345,641","175,388","170,253"
Tamaulipas,Secundaria,"167,728","84,457","83,271"
Tamaulipas,Media superior,"141,415","69,021","72,394"
Tamaulipas,Superior,"142,056","65,162","76,894"
Tlaxcala,Total,"370,394","186,648","183,746"
Tlaxcala,Inicial,"2,489","1,310","1,179"
Tlaxcala,Preescolar,"46,034","23,257","22,777"
Tlaxcala,Primaria,"144,521","73,071","71,450"
Tlaxcala,Secundaria,"74,354","37,534","36,820"
Tlaxcala,Media superior,"60,664","29,549","31,115"
Tlaxcala,Superior,"42,332","19,025","23,307"
Veracruz de Ignacio de la Llave,Total,"1,817,201","908,282","908,919"
Veracruz de Ignacio de la Llave,Inicial,"6,738","3,496","3,242"
Veracruz de Ignacio de la Llave,Preescolar,"202,945","101,923","101,022"
Veracruz de Ignacio de la Llave,Primaria,"733,185","373,039","360,146"
Veracruz de Ignacio de la Llave,Secundaria,"372,263","187,868","184,395"
Veracruz de Ignacio de la Llave,Media superior,"307,454","148,460","158,994"
Veracruz de Ignacio de la Llave,Superior,"194,616","94,133","100,483"
Yucatán,Total,"598,046","299,190","298,856"
Yucatán,Inicial,"7,831","4,014","3,817"
Yucatán,Preescolar,"75,807","38,187","37,620"
Yucatán,Primaria,"225,870","115,298","110,572"
Yucatán,Secundaria,"108,428","54,777","53,651"
Yucatán,Media superior,"95,584","47,094","48,490"
Yucatán,Superior,"84,526","39,486","45,040"
Zacatecas,Total,"454,038","230,347","223,691"
Zacatecas,Inicial,"4,767","2,451","2,316"
Zacatecas,Preescolar,"64,288","32,427","31,861"
Zacatecas,Primaria,"185,456","93,875","91,581"
Zacatecas,Secundaria,"88,302","44,217","44,085"
Zacatecas,Media superior,"64,049","29,640","34,409"
Zacatecas,Superior,"47,176","21,081","26,095"
